,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,regioes_id
0,-0.3161,0.1285,0.0199,-0.0317,-0.0126,-0.0005,-0.0112,-0.0209,-0.0069,0.0054,0.0055,-0.0,0.0007,-0.0049,-0.0034,-0.01,-0.0484,0.0138,-0.0625,-0.0009,0.0173,-0.0968,-0.0476,-0.0111,-192.1154,0.0063,-0.0138,-0.2905,1.5521,23.8048,0.1295,0.0023,0.001,-494.6611,-0.0021,-0.009,1.1186,-0.0015,-0.1415,0.0012,-6.9532,-0.0021,-0.0624,0.0583,987979.6799,14420809.1166,82363.2685,0.0024,17.7768,0.0034,0.0026,0.0812,0.0018,-0.0443,-0.0001,984307.5794,16.108,0.0,-0.2821,-0.0001,-0.0,2
1,0.0119,-0.204,-0.0731,-0.0147,0.0152,-0.0214,0.0117,0.0174,0.0071,-0.0053,-0.0055,-0.001,-0.0027,0.0124,-0.0187,0.0092,-0.0024,-0.0096,0.0275,-0.0165,-0.0125,-0.0049,0.0125,0.0001,-446.302,0.003,-0.0073,-0.0786,-2.5033,-10.5346,-0.5719,0.0094,-0.0633,-297.2624,0.0072,0.0163,-1.766,0.0065,-0.02,0.0057,0.8635,0.0303,-0.0533,-0.0772,-477546.3336,-1082111.3522,-336809.9676,-0.0024,-5.958,-0.0019,-0.0013,-0.0282,-0.0021,-0.0765,0.0013,-474114.5485,-42.4101,0.0001,0.0531,0.001,0.0001,4
2,0.773,-0.5803,-0.4233,-0.0353,0.0803,-0.0547,0.0457,0.0321,0.0187,-0.018,-0.0195,-0.0037,-0.0081,0.0154,-0.0329,0.0234,0.1759,-0.0155,0.0776,-0.0384,-0.0334,0.3517,0.0132,0.0112,-146.2411,0.0181,-0.0445,0.5448,-1.6953,-2.4634,-1.3428,-0.0362,-0.2398,-178.5089,0.052,0.0663,-0.9479,0.0361,0.5407,-0.0047,-5.964,-0.0202,0.0094,-0.5432,-30470.3306,-77161.0134,-20398.2294,0.0106,-3.9127,-0.022,-0.0374,-0.4947,-0.0082,-0.0262,0.0149,-29431.5241,-19.7433,0.0049,0.2132,0.0016,0.0255,5
3,0.4566,0.153,0.0521,0.0353,0.0026,0.0172,0.0019,-0.0033,-0.0001,-0.0009,-0.0009,0.0,-0.0001,-0.0117,0.0185,0.0017,0.0325,-0.0129,0.034,0.0148,-0.0175,0.0649,0.031,0.0095,0.8162,0.0003,0.0036,0.513,0.7138,5.4895,0.0404,0.0008,0.0341,-19.5922,-0.0068,-0.0007,0.2689,-0.0078,0.1809,0.0005,3.9042,0.0203,-0.0879,-0.1219,22313.9025,483698.9492,-3910.1185,-0.0003,1.359,0.0024,0.0017,-0.0311,-0.0002,-0.0763,0.0,21594.071,-0.0135,0.0,0.2122,0.0002,0.001,7
4,-1.032,-0.2749,0.0988,-0.0411,-0.0154,-0.0013,-0.0136,-0.0217,-0.0073,0.0064,0.0066,0.0001,0.0012,-0.0026,-0.0035,-0.0116,-0.1289,0.0203,-0.0678,-0.0033,0.0244,-0.2578,-0.0489,-0.0141,-150.1514,0.0033,-0.0079,-1.0022,1.4308,7.0502,0.191,0.0086,0.0229,-210.3768,-0.0049,-0.0117,0.9089,-0.0045,-0.6075,0.0052,-2.8962,0.0005,-0.035,-0.7103,157909.5324,40717.5187,18934.9139,0.0126,2.8845,0.0047,0.0041,-0.3286,0.0065,-0.0399,-0.0001,158504.6973,5.0459,0.0,-0.3494,-0.0002,-0.0002,8
5,-0.379,0.032,-0.05,-0.0068,-0.0076,0.0078,-0.0092,-0.0179,-0.0038,0.0047,0.0047,0.0001,0.0012,-0.0095,0.0044,-0.0094,-0.0447,0.011,-0.0413,0.0065,0.0083,-0.0893,-0.0319,-0.0036,7.8328,0.0058,-0.0195,-0.4284,1.4588,12.8133,0.1375,0.0028,0.015,-11.7499,-0.007,-0.0095,0.6996,-0.0084,-0.354,0.0011,1.3748,0.0073,-0.0117,0.2023,21804.2263,209346.6659,2242.1892,0.002,1.6475,0.0062,0.006,0.1678,0.0007,-0.0492,0.0004,20532.2939,0.067,0.0,-0.1704,-0.0002,-0.0014,10
6,-1.0462,-0.5189,0.1075,-0.0435,-0.0165,-0.0046,-0.013,-0.0157,-0.0051,0.0059,0.0061,-0.0008,0.0001,0.0054,-0.0118,-0.0102,-0.1537,0.011,-0.0478,-0.0102,0.0064,-0.3073,-0.0352,-0.015,-16.6017,0.005,-0.0151,-0.9089,0.5635,-5.6867,0.2581,0.0166,0.0305,-41.026,-0.0139,-0.015,0.2423,-0.0116,-0.6375,0.0096,1.2265,0.023,-0.1171,-0.5942,2551.564,-119500.5196,2276.7934,0.0446,0.0408,-0.0018,-0.0031,-0.4223,0.0294,-0.0803,0.0,1426.5878,3.1185,0.0001,-0.3448,0.0005,-0.0028,11
7,1.4895,0.1472,-0.0499,0.0669,0.008,0.0438,0.0064,0.0206,0.0062,-0.0029,-0.003,0.0015,0.0015,-0.0235,0.0466,0.0052,0.2322,-0.034,0.0868,0.0397,-0.0323,0.4643,0.0773,0.0187,30.1873,-0.0138,0.0116,1.4152,-0.559,15.6042,-0.4582,-0.0268,0.0412,29.9825,0.0026,-0.0008,-0.1976,0.0054,0.7758,-0.0129,0.8723,-0.0081,-0.0147,1.0607,27018.6686,434389.0983,317.8996,-0.0366,1.7496,0.0009,-0.0031,0.6978,-0.0249,0.0651,0.0003,22852.8404,-7.5155,-0.0005,0.4311,-0.0009,0.0012,12
8,1.4268,1.8106,-0.3018,0.0872,0.009,0.0076,0.0019,-0.0051,0.0029,0.0002,-0.0002,0.0023,0.0037,-0.0029,-0.0003,-0.0034,0.1855,0.0118,0.009,0.0071,0.0055,0.371,-0.0013,0.024,9.3905,0.0064,0.0216,1.3523,0.7154,10.5107,0.5619,-0.0021,0.0169,14.3215,0.0001,-0.0026,0.1355,-0.003,0.8064,-0.0079,0.3654,0.0116,0.055,1.295,3102.3146,97323.6074,6382.6001,-0.0346,0.6934,0.0109,0.0205,1.0859,-0.0158,-0.0074,0.0002,5163.6299,4.6829,0.0046,0.5207,-0.0017,0.0082,13
9,0.0461,-0.2261,-0.0329,-0.0159,0.0163,-0.0186,0.0055,0.0128,0.0105,-0.0011,-0.0017,-0.0015,-0.0018,0.0013,-0.01,-0.0025,0.0109,0.0018,-0.002,-0.0124,0.0088,0.0217,-0.0087,0.0001,-25.8572,0.0003,0.0015,0.0917,-0.1083,-1.5831,0.2416,-0.0086,-0.0482,-18.0419,0.0061,0.0066,-0.0159,0.0043,0.1118,-0.0076,0.6785,0.011,0.0489,-0.1102,-15734.7686,-48522.4796,-8302.7247,0.0034,1.2312,0.0184,0.0243,0.2107,0.0071,-0.0688,0.003,-12380.6085,0.2981,0.0004,-0.1005,0.0016,-0.0006,14
10,-0.2293,-0.0882,0.0567,-0.0242,0.0002,-0.0069,-0.0063,-0.0008,0.0058,0.0039,0.0038,-0.0005,0.0004,0.0015,-0.0055,-0.0091,-0.052,0.0108,-0.0319,-0.0019,0.021,-0.104,-0.0235,-0.006,-14.8599,0.0005,0.0012,-0.2412,-0.0375,-0.9434,0.0341,0.0123,-0.004,-14.7764,-0.0011,-0.0036,-0.0212,-0.0003,-0.1774,0.0067,-0.4755,-0.0066,0.0551,-0.6177,-4042.5463,-8395.0329,-3490.675,0.0201,0.5609,0.0015,0.0031,-0.2309,0.0055,0.0066,0.0017,-3682.5431,1.1711,0.0001,-0.017,0.0005,-0.0007,15
11,-0.133,-0.6379,0.1429,-0.042,-0.0023,-0.0091,-0.0004,-0.0073,-0.0028,-0.0002,0.0,-0.0001,-0.0002,0.0026,-0.0102,0.0016,-0.0137,0.0028,-0.0257,-0.0111,0.0013,-0.0274,-0.0226,-0.0111,57.299,0.0069,-0.0241,-0.0394,0.8912,15.4537,0.0231,-0.0001,-0.0265,19.4154,-0.0007,0.0008,0.5274,-0.0012,0.0077,-0.0004,0.826,0.0072,-0.055,-0.3526,49913.0249,853396.9811,3117.0895,0.0043,1.7033,0.0076,0.0087,-0.1034,0.0045,-0.0561,0.0,49141.0184,5.6936,-0.0,0.0983,0.0001,-0.0001,16
12,-0.1516,-3.6444,0.6618,-0.3562,-0.0825,-0.0583,-0.0561,-0.0861,-0.0367,0.0238,0.0254,0.0021,0.0077,0.0167,-0.0635,-0.0344,-0.0345,0.0637,-0.3109,-0.0539,0.0622,-0.0689,-0.23,-0.1097,113.8929,0.0316,-0.103,-0.0597,2.3414,21.8,0.3173,0.0017,0.0542,-1.5085,-0.0448,-0.0515,1.1692,-0.0405,-0.4493,-0.0038,4.0164,0.0329,-0.1013,-0.0187,37982.2344,414840.8137,4493.1211,-0.0034,2.626,0.0128,0.0153,0.27,0.0022,-0.12,-0.0024,37113.5404,3.8714,-0.0004,-0.2586,-0.0041,-0.0056,17
