,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,regioes_id
0,0.7624,0.8683,0.7992,0.6488,0.1548,0.9607,0.1237,0.1239,0.1502,0.1148,0.1174,0.8182,0.2482,0.5879,0.7416,0.1035,0.6455,0.2014,0.1927,0.9293,0.2177,0.6455,0.2313,0.5528,0.7701,0.3622,0.5167,0.7655,0.0949,0.2275,0.1152,0.3942,0.9693,0.4894,0.6441,0.1294,0.0849,0.7668,0.8127,0.4233,0.8041,0.8697,0.1744,0.9419,0.2199,0.3478,0.1989,0.6267,0.5188,0.4553,0.5322,0.8684,0.566,0.2884,0.7627,0.2206,0.466,0.6462,0.4715,0.6415,0.6167,2
1,0.952,0.6289,0.5175,0.7448,0.4221,0.0727,0.4182,0.4767,0.4765,0.4276,0.4238,0.2126,0.2784,0.0768,0.0925,0.4576,0.9644,0.6273,0.674,0.1326,0.5613,0.9644,0.7909,0.9938,0.0423,0.6407,0.7355,0.758,0.362,0.0698,0.8402,0.5667,0.0183,0.0767,0.2763,0.2143,0.3287,0.2905,0.9195,0.5327,0.8853,0.1231,0.4825,0.8638,0.028,0.0053,0.1168,0.8635,0.2889,0.7334,0.8174,0.9153,0.8007,0.2025,0.082,0.0281,0.2033,0.0572,0.8619,0.3249,0.8552,4
2,0.0067,0.4737,0.0001,0.6776,0.087,0.0001,0.0428,0.2402,0.2955,0.0241,0.0306,0.0022,0.001,0.0002,0.0023,0.0057,0.0042,0.1801,0.2996,0.0002,0.0464,0.0042,0.7627,0.7236,0.0,0.0413,0.1791,0.0899,0.0001,0.0009,0.002,0.0103,0.0,0.0,0.0,0.0,0.0001,0.0,0.0645,0.5077,0.0,0.2196,0.8831,0.254,0.0006,0.0,0.0099,0.3131,0.0001,0.0139,0.0027,0.1174,0.1416,0.6929,0.0,0.0006,0.0,0.0,0.5377,0.3897,0.0002,5
3,0.62,0.6292,0.3059,0.4941,0.8573,0.2643,0.8772,0.8953,0.9886,0.8809,0.8814,0.9912,0.9537,0.2136,0.3301,0.8802,0.7671,0.5846,0.6518,0.3387,0.4453,0.7671,0.6088,0.5493,0.9894,0.9804,0.8454,0.5427,0.6609,0.7985,0.8696,0.8813,0.2117,0.8098,0.3299,0.9465,0.7747,0.3075,0.7315,0.8617,0.2631,0.2249,0.1312,0.8611,0.7908,0.5784,0.7825,0.9819,0.6765,0.6997,0.7951,0.9411,0.9747,0.1652,0.9734,0.7918,0.9979,0.9755,0.5351,0.7429,0.348,7
4,0.1684,0.8391,0.502,0.6695,0.4754,0.8983,0.3263,0.305,0.4564,0.2656,0.285,0.7435,0.3315,0.6842,0.7655,0.1707,0.1675,0.106,0.325,0.7499,0.1315,0.1675,0.3116,0.6213,0.2992,0.6352,0.805,0.1639,0.0558,0.3553,0.0842,0.1363,0.2854,0.5345,0.5136,0.2163,0.0396,0.5581,0.2028,0.107,0.5642,0.9539,0.7228,0.3033,0.4358,0.9827,0.5315,0.3195,0.7447,0.4343,0.5097,0.4164,0.3291,0.3771,0.8452,0.429,0.7304,0.3999,0.4033,0.7246,0.3127,8
5,0.681,0.9638,0.6369,0.8986,0.6065,0.5079,0.3998,0.4232,0.6723,0.3378,0.3529,0.7051,0.3219,0.241,0.7487,0.268,0.6764,0.5508,0.5177,0.5891,0.6593,0.6764,0.519,0.8269,0.6971,0.4178,0.519,0.626,0.2531,0.4473,0.402,0.5997,0.4497,0.7019,0.2531,0.2554,0.3068,0.2179,0.5101,0.7121,0.1104,0.4914,0.8831,0.7391,0.4494,0.4756,0.5398,0.9043,0.2312,0.3639,0.4503,0.6436,0.941,0.3544,0.5638,0.4486,0.9593,0.847,0.6121,0.5411,0.4286,10
6,0.1338,0.4937,0.3975,0.4473,0.3797,0.6773,0.3462,0.4809,0.5535,0.3364,0.3399,0.219,0.9684,0.2451,0.3564,0.3268,0.1353,0.576,0.4869,0.3882,0.7639,0.1353,0.4889,0.4229,0.3516,0.5273,0.4977,0.1647,0.3631,0.3387,0.1358,0.1739,0.0699,0.1556,0.1071,0.1337,0.4455,0.1524,0.1635,0.2325,0.3602,0.1295,0.1463,0.3386,0.8451,0.3112,0.3388,0.1553,0.9696,0.8767,0.7981,0.2664,0.1084,0.2119,0.955,0.9043,0.1216,0.6179,0.1998,0.4877,0.0889,11
7,0.0123,0.2284,0.2464,0.047,0.5408,0.0026,0.5998,0.4325,0.4192,0.6203,0.6134,0.1258,0.498,0.0053,0.0058,0.6516,0.0186,0.179,0.2032,0.0048,0.1718,0.0186,0.1605,0.0977,0.0842,0.2243,0.3055,0.0194,0.669,0.1086,0.3812,0.1227,0.089,0.194,0.7242,0.9348,0.7102,0.601,0.0358,0.0851,0.463,0.649,0.797,0.0861,0.3096,0.0071,0.9738,0.1322,0.0842,0.9363,0.8224,0.0797,0.0257,0.2969,0.5706,0.3189,0.7543,0.2067,0.0309,0.3841,0.3958,12
8,0.0975,0.0856,0.0707,0.1872,0.6335,0.6507,0.9078,0.884,0.7924,0.9846,0.977,0.1755,0.238,0.6909,0.9864,0.8158,0.1659,0.6924,0.9195,0.6672,0.8346,0.1659,0.9858,0.2398,0.248,0.6826,0.3056,0.1117,0.5521,0.2789,0.3127,0.9315,0.5427,0.2989,0.9889,0.8333,0.7271,0.8175,0.1127,0.4921,0.6128,0.6257,0.5282,0.0892,0.8298,0.306,0.4032,0.2609,0.1618,0.294,0.1585,0.0137,0.3352,0.9195,0.8144,0.6129,0.7965,0.3018,0.0529,0.3462,0.1248,13
9,0.8313,0.7019,0.7798,0.8195,0.6086,0.1035,0.7813,0.649,0.4675,0.8935,0.8498,0.277,0.5709,0.7394,0.3437,0.846,0.8501,0.9223,0.9788,0.1628,0.6829,0.8501,0.8639,0.9968,0.0307,0.9665,0.955,0.7421,0.8893,0.6351,0.7119,0.6454,0.0711,0.2679,0.534,0.6362,0.9706,0.6102,0.6187,0.3578,0.5111,0.6066,0.623,0.7959,0.0634,0.007,0.297,0.8649,0.2215,0.067,0.0368,0.3693,0.5965,0.3643,0.031,0.0873,0.9494,0.0669,0.7148,0.4077,0.841,14
10,0.3381,0.8877,0.5319,0.7484,0.9944,0.5102,0.726,0.9751,0.6761,0.5835,0.626,0.5855,0.8437,0.691,0.6296,0.3485,0.3679,0.4502,0.6685,0.8425,0.2629,0.3679,0.6266,0.8179,0.307,0.9588,0.9662,0.4211,0.9313,0.5477,0.9364,0.4807,0.8252,0.425,0.9044,0.7428,0.9321,0.9629,0.4808,0.4186,0.659,0.7214,0.4847,0.1883,0.6037,0.5299,0.6242,0.1324,0.5838,0.8611,0.7627,0.4226,0.4954,0.9215,0.3205,0.6088,0.7562,0.7848,0.9579,0.7091,0.7914,15
11,0.9137,0.4847,0.3294,0.4191,0.9004,0.4304,0.9754,0.7674,0.7931,0.9789,0.9993,0.7181,0.8781,0.7282,0.4402,0.8793,0.9144,0.8856,0.6922,0.266,0.9481,0.9144,0.6397,0.5128,0.5127,0.3338,0.4967,0.9722,0.6925,0.6982,0.9118,0.9746,0.3796,0.8519,0.9148,0.9432,0.71,0.8457,0.9912,0.8769,0.7616,0.5542,0.4997,0.6764,0.6024,0.4888,0.7731,0.6922,0.7077,0.1807,0.1515,0.8232,0.4525,0.3425,0.9429,0.6024,0.3617,0.9919,0.8456,0.884,0.8828,16
12,0.8265,0.0051,0.0004,0.0,0.0021,0.0,0.0007,0.001,0.0039,0.0005,0.0005,0.0012,0.0,0.0007,0.0,0.0008,0.7148,0.0002,0.0001,0.0001,0.0014,0.7148,0.0,0.0,0.0,0.0003,0.0008,0.9304,0.0,0.0,0.0016,0.8078,0.0046,0.9566,0.0,0.0,0.0,0.0,0.3764,0.3554,0.0,0.003,0.2065,0.9783,0.0,0.0,0.0007,0.8241,0.0199,0.0991,0.1048,0.5145,0.7928,0.0219,0.0109,0.0,0.0186,0.0003,0.5171,0.0,0.0044,17
13,0.42,0.4286,0.6347,0.0072,0.0058,0.0917,0.0029,0.0007,0.0029,0.0028,0.0027,0.0862,0.0081,0.3049,0.0123,0.0038,0.4145,0.002,0.0011,0.0616,0.0116,0.4145,0.001,0.0051,0.0,0.0101,0.0462,0.5974,0.0,0.0061,0.0024,0.8719,0.0,0.6247,0.0,0.0,0.0,0.0,0.3516,0.4552,0.009,0.1499,0.1656,0.7274,0.0,0.0,0.0858,0.7812,0.0678,0.8519,0.2211,0.3452,0.9914,0.9697,0.0088,0.0,0.1942,0.7174,0.1245,0.0331,0.0026,18
14,0.5721,0.123,0.0741,0.4254,0.2759,0.5925,0.446,0.4566,0.2277,0.5801,0.5496,0.3275,0.4088,0.5829,0.6617,0.9694,0.5919,0.944,0.6122,0.3744,0.6833,0.5919,0.7398,0.3623,0.0337,0.7738,0.3604,0.5925,0.3746,0.5787,0.7898,0.7633,0.3772,0.1703,0.2925,0.2537,0.3621,0.3229,0.5052,0.8927,0.4824,0.4159,0.4486,0.4069,0.1542,0.0373,0.6507,0.0971,0.7836,0.3704,0.4909,0.9759,0.2431,0.9736,0.0195,0.1565,0.6739,0.0185,0.437,0.309,0.2282,24
15,0.3335,0.5222,0.6297,0.399,0.1645,0.8987,0.2092,0.1662,0.139,0.2328,0.2247,0.0856,0.1393,0.7072,0.3645,0.2763,0.3078,0.2359,0.2545,0.6022,0.2618,0.3078,0.2621,0.3087,0.0008,0.1361,0.1917,0.3739,0.0241,0.615,0.2262,0.7437,0.0748,0.9342,0.031,0.0266,0.0207,0.0455,0.2678,0.679,0.5037,0.4076,0.9303,0.3245,0.0354,0.0939,0.2872,0.494,0.8662,0.9268,0.9894,0.0894,0.0851,0.93,0.0282,0.0038,0.3812,0.3214,0.6019,0.0411,0.7916,26
16,0.3455,0.2707,0.2108,0.53,0.4948,0.4565,0.3668,0.4582,0.5796,0.3271,0.337,0.5828,0.2689,0.1125,0.3867,0.2874,0.3501,0.5635,0.5976,0.7414,0.4334,0.3501,0.6467,0.5147,0.295,0.6533,0.4588,0.3289,0.3483,0.7796,0.521,0.4471,0.3738,0.9586,0.4058,0.2978,0.3288,0.4529,0.3381,0.4165,0.1579,0.8213,0.5074,0.3298,0.4125,0.9086,0.5336,0.3206,0.3066,0.9343,0.9419,0.5705,0.4419,0.9098,0.9167,0.4062,0.7242,0.8645,0.6253,0.3639,0.2267,28
17,0.5367,0.4921,0.35,0.8275,0.8815,0.9847,0.8802,0.8774,0.7259,0.726,0.7859,0.7515,0.6582,0.4975,0.606,0.3614,0.7259,0.4017,0.9746,0.1775,0.344,0.7259,0.9041,0.8398,0.1749,0.8245,0.794,0.6349,0.3679,0.9287,0.712,0.5853,0.1155,0.417,0.2674,0.2531,0.5117,0.2678,0.5868,0.5293,0.0108,0.5519,0.5762,0.9532,0.8606,0.8433,0.5474,0.9717,0.0624,0.56,0.1769,0.8029,0.1569,0.4423,0.4147,0.645,0.5615,0.2866,0.5992,0.8695,0.4037,31
18,0.8466,0.3992,0.3552,0.5651,0.0963,0.7169,0.0705,0.0642,0.0852,0.0633,0.0655,0.8633,0.0789,0.2593,0.9351,0.0538,0.7149,0.1759,0.1786,0.7771,0.2217,0.7149,0.2386,0.4554,0.4712,0.4287,0.4714,0.8713,0.048,0.1146,0.1117,0.4339,0.4372,0.2974,0.2937,0.0768,0.0458,0.3323,0.8513,0.5515,0.7926,0.9417,0.2292,0.8003,0.4126,0.7118,0.3035,0.5392,0.5641,0.6566,0.7192,0.7265,0.4859,0.3427,0.9284,0.4133,0.5722,0.3013,0.5168,0.4856,0.9111,41
19,0.8538,0.6492,0.5117,0.9323,0.3803,0.1501,0.4217,0.5574,0.5157,0.4557,0.4436,0.2585,0.3357,0.1622,0.2346,0.5366,0.9102,0.6726,0.6035,0.1107,0.4876,0.9102,0.7188,0.7518,0.0035,0.8541,0.8296,0.8278,0.7638,0.2007,0.8845,0.7916,0.0402,0.0058,0.2871,0.1966,0.685,0.3359,0.9173,0.6471,0.8656,0.0315,0.3467,0.7924,0.2069,0.0106,0.521,0.862,0.1108,0.033,0.0431,0.6007,0.8268,0.2909,0.0273,0.2082,0.0363,0.0065,0.7996,0.2504,0.2718,43
20,0.051,0.8451,0.0037,0.8116,0.0656,0.0005,0.0246,0.1664,0.2689,0.0105,0.0152,0.0,0.0,0.0058,0.1459,0.0007,0.0429,0.022,0.1247,0.0381,0.0035,0.0429,0.2777,0.4127,0.0,0.0703,0.3009,0.3185,0.0,0.0002,0.0026,0.1362,0.0,0.0,0.0,0.0,0.0,0.0,0.1833,0.6899,0.0,0.4416,0.8001,0.2585,0.0006,0.0,0.0132,0.3334,0.0005,0.3335,0.1875,0.3074,0.7742,0.1334,0.0,0.0005,0.1527,0.0,0.8225,0.0274,0.0001,44
21,0.6168,0.8056,0.871,0.4784,0.9995,0.1653,0.9256,0.9819,0.9378,0.8971,0.9077,0.5484,0.7446,0.1311,0.2227,0.8502,0.5356,0.4752,0.6754,0.1706,0.2746,0.5356,0.5941,0.5711,0.9198,0.9892,0.7755,0.5642,0.9783,0.4313,0.9263,0.399,0.8774,0.8174,0.6233,0.9437,0.9061,0.6535,0.5269,0.2881,0.8225,0.84,0.3302,0.3095,0.7467,0.9028,0.534,0.4178,0.9052,0.3919,0.4417,0.4909,0.2662,0.4639,0.5892,0.7488,0.2247,0.568,0.8631,0.1952,0.6216,46
